33.8958 33.8958
-15.8887 -15.8887 1.01186
-15.8887 -13.7702 0.987337
-15.8887 -11.6517 1.01119
-15.8887 -9.53319 1.00387
-15.8887 -7.41471 0.997833
-15.8887 -5.29622 0.983999
-15.8887 -3.17773 0.99837
-15.8887 -1.05924 0.993348
-15.8887 1.05924 0.985715
-15.8887 3.17773 1.00604
-15.8887 5.29622 0.982256
-15.8887 7.41471 1.00888
-15.8887 9.53319 1.01754
-15.8887 11.6517 0.980031
-15.8887 13.7702 1.01969
-15.8887 15.8887 1.0047
-13.7702 -15.8887 1.00447
-13.7702 -13.7702 0.980283
-13.7702 -11.6517 0.980922
-13.7702 -9.53319 1.00099
-13.7702 -7.41471 0.995994
-13.7702 -5.29622 0.981867
-13.7702 -3.17773 1.01895
-13.7702 -1.05924 0.989311
-13.7702 1.05924 0.983624
-13.7702 3.17773 1.00474
-13.7702 5.29622 0.995298
-13.7702 7.41471 1.01933
-13.7702 9.53319 0.998671
-13.7702 11.6517 1.0144
-13.7702 13.7702 1.00721
-13.7702 15.8887 0.99802
-11.6517 -15.8887 0.980531
-11.6517 -13.7702 1.01769
-11.6517 -11.6517 1.00253
-11.6517 -9.53319 0.995417
-11.6517 -7.41471 0.980639
-11.6517 -5.29622 0.989236
-11.6517 -3.17773 0.989641
-11.6517 -1.05924 1.00733
-11.6517 1.05924 1.0044
-11.6517 3.17773 1.01333
-11.6517 5.29622 0.986935
-11.6517 7.41471 0.995642
-11.6517 9.53319 0.987289
-11.6517 11.6517 1.01021
-11.6517 13.7702 0.997006
-11.6517 15.8887 0.988318
-9.53319 -15.8887 1.00271
-9.53319 -13.7702 0.981253
-9.53319 -11.6517 1.01369
-9.53319 -9.53319 0.99799
-9.53319 -7.41471 0.995806
-9.53319 -5.29622 1.01707
-9.53319 -3.17773 1.00909
-9.53319 -1.05924 0.993062
-9.53319 1.05924 1.00282
-9.53319 3.17773 1.00083
-9.53319 5.29622 1.01845
-9.53319 7.41471 1.01378
-9.53319 9.53319 1.00989
-9.53319 11.6517 1.00159
